Device,Test Name,Test Status,Message(s),Test description,Test category
TelecomB-DB-1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
TelecomB-DB-1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
TelecomB-DB-1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
TelecomB-DB-1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
TelecomB-DB-1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
TelecomB-DB-1,VerifyReachability,success,,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
TelecomB-DB-1,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on cEOSLab,Verifies the status of power supply fans and all fan trays.,Hardware
TelecomB-DB-1,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on cEOSLab,Verifies the power supplies state and input voltage.,Hardware
TelecomB-DB-1,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on cEOSLab,Verifies the device's system cooling status.,Hardware
TelecomB-DB-1,VerifyTemperature,skipped,VerifyTemperature test is not supported on cEOSLab,Verifies if the device temperature is within acceptable limits.,Hardware
TelecomB-DB-1,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on cEOSLab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
TelecomB-DB-1,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
TelecomB-DB-1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
TelecomB-DB-1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
TelecomB-DB-1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
TelecomB-DB-1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
TelecomB-DB-1,VerifyInterfacesStatus,failure,"Interface: Vxlan1 - Status mismatch - Expected: up/up, Actual: down/down",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
TelecomB-DB-1,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
TelecomB-DB-1,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on cEOSLab,Verifies there are no interface storm-control drop counters.,Interfaces
TelecomB-DB-1,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Apr  8 14:02:10 ea7de1b5c8eb NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
TelecomB-DB-1,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
TelecomB-DB-1,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
TelecomB-DB-1,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
TelecomB-DB-1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
TelecomB-DB-1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
TelecomB-DB-1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
TelecomB-DB-1,VerifyCoredump,success,,Verifies there are no core dump files.,System
TelecomB-DB-1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
TelecomB-DB-1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
TelecomB-DB-1,VerifyMemoryUtilization,failure,Device has reported a high memory usage - Expected: < 75% Actual: 88.82%,Verifies whether the memory utilization is below 75%.,System
TelecomB-DB-1,VerifyNTP,success,,Verifies if NTP is synchronised.,System
TelecomB-DB-1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
